,polarity,text
660,neutral,GENERIC Children's Educational English Learning Pad - Pink and MCYKCY Fashion Men's Leather Band Watches Military Sport Analog Wrist Watch
1652,neutral,Sawa
725,neutral,ok
1382,negative,@JumiaKenya .... afternoon....I have placed an order #309671886 and it's not giving me feedback or a confirmation call...kindly help...
774,neutral,@JumiaKenya I bought a laptop but I didn't get the Microsoft office activation code
1801,neutral,@JumiaKenya any information on delivery supposed to be today??
1334,negative,@jumia so that you deliver one made for UAE and refuse to change? Customer be ware
1325,neutral,GoPro
360,negative,Okay that is expensive than I thought
1150,neutral,"@JumiaKenya helo have just orderd for lenovo 6010, but orde diidnt go through. went back to home pg but i count see it/"
1161,neutral,(cont) I asked because they seemed to have no relation to Jumia when I called them earlier today.
1059,neutral,"Alright, thank you. I wanted to order a phone. Please tell me how to go about it..."
321,negative,"@JumiaKenya Hi, I am a new customer, trying to register and I got an Invalid email"" error. Why? That's a valid email address pic.twitter.com/pQIpyJn5Zf"""
443,neutral,What of twitter fans
173,negative,@JumiaKenya So I bought a gadget that isn't working and now y'all telling me that I can't return?? So. Disappointed in you
831,neutral,304331782
497,negative,@JumiaKenya kindly check on this complain I bought a memory card which is faulty. My order no 305139386.pls plan to pick n replace it.
1057,neutral,can i get the locally available items first
708,negative,I made the order based on the previous delivery. I may seek cancellation if it goes beyond tomorrow.
239,positive,It's okay thanks for that
1061,neutral,@JumiaKenya Hello? Do you open on Saturday?
810,negative,Best way you can help just cancel that order cause have waited for almost two weeks then you frustrate me I will buy from shop thank you
1129,positive,"I have sorted,thanks"
1257,negative,And you are not helping me now.
1682,neutral,CBDP-30682296-LZU This is what is in the SMS
568,negative,@JumiaKenya hi order no 302611986 today is 13th day any news about my fon ? Hope u sort it for me b4 friday coz am traveling I will need fon
618,neutral,@JumiaKenya today is my birthday..
1383,negative,@JumiaKenya you promised to repair my phone within 10 working days. It's 15 days now and no news on my phone
1167,neutral,303815196 thats the order ?placed on july 10th.
1733,negative,@JumiaKenya my order 306527166 in package ADA-306527166 has not been delivered and it has been a month since i made payment. Please advice
1592,negative,@JumiaKenya why the Jumia First delivery items are charging delivery charges.. suppose to be free delivery?
1703,neutral,I thought you indicated 3-6dayd on the item?
775,neutral,@JumiaKenya hi kindly check my order address 308576386
720,neutral,"DIGITEL 40 INCH TELEVISION, PRICE 28,989"
1519,negative,There is a split on the top edge that connects to the phone. Picture evidence herein attached pic.twitter.com/106qdgEsZ7
233,neutral,"Hi, I did collect my ordered package this evening I appreciate a lot. However the bluetooth indicators on speaker seems not to be working"
420,negative,"I waited for notification but never got, both on e-mail or via call but it's okey."
1358,neutral,14999
953,neutral,Did you get my order number?
105,negative,@JumiaKenya hi. My order was cancelled and I still received a message saying that it was ready for collection. Kindly advise.
1310,negative,Ok. Poor suppory
554,negative,Employ more social media agents to engage use you seem to have few of them there
681,neutral,Thanks.
739,neutral,Thanks. I got the refund.
383,neutral,Noted
84,neutral,When are those 32 inch smart tv come back on sale?
559,neutral,@JumiaKenya order 304688386 kindly update.
1165,negative,@JumiaKenya I placed an order but you haven't delivered it.
1230,negative,Kindly expedite.
661,neutral,How am I suppose to get their contacts? Warranty and receipt?
1152,negative,"@JumiaKenya I got an SMS your package has arrived at our CBD-Fleet and will be attempted for delivery within the next 24 hours.where is it?"""
285,neutral,@JumiaKenya @victorber24 @mugoyajoy https:// twitter.com/TeacherWanjiku /status/900352371598938112 …
547,neutral,"@JumiaKenya hello kindly help me check for the status of my order,order no is 302253886"
4,negative,@JumiaKenya please respond to my dm
1205,neutral,Sawa. Waiting with bated breath
1039,negative,@JumiaKenya please my phone that I bought it's SD is not opening
752,neutral,Okay.
886,neutral,307311986
1098,neutral,@JumiaKenya when will Jumia Order 302867786 be ready for pickup ? Thank you in advance
637,neutral,What's the update on my order?
1198,negative,@JumiaKenya I don't understand why several orders made by the same person at the same time should be delivered on different days.
690,neutral,@JumiaKenya Morning. I made order #301481386 but I forgot to use my voucher number during check-out and confirmed it. Can it be modified?
1750,neutral,Does Jumia sell TVs with inbuilt decorder such that after buying there's no need of buying a separate decorder such as go tv?
854,negative,That's been the narrative for the past one week.
1261,neutral,@JumiaKenya kindly requesting to get my order before 4th of august coz I'm going home &I will have no one pick for me order no. 309411596
89,neutral,@JumiaKenya do you guys have Innjoo Halo 3 i wanna purchase it????...
1428,negative,@JumiaKenya i have been waiting for my order since July 12th when you guys confirmed it had been shipped. Why is it taking that long?
734,neutral,"Paypal Receipt No:1272-3504-6152-6731,Paypal Invoice ID: 307954386, order number:302954386. not sure where to find the transaction code"
1605,negative,is the phone going to be fixed or not??
1495,negative,@JumiaKenya Do you sell apology vouchers? I have accumulated 3. Come on!
1687,neutral,306364486
1437,neutral,Am in Nairobi
467,positive,"Delivered, Thank you"
1155,neutral,"Hello, I don't know what to fill in ,coupon please assist me to understand."
1623,negative,@JumiaKenya why did you remove posta pickup station in Nyeri?
1381,negative,@JumiaKenya order 309671886 ...has it been confirmed. .am not receiving any feedback...
253,negative,@JumiaKenya You are very annoying with returned products and poor customer services. How can one call and you don't pick a call and you know
1001,neutral,@JumiaKenya Where are your offices in town centre. I want to collect an order today
478,neutral,"OK,I am ordering right now but kindly deliver by Tuesday."
1241,neutral,Okay.
1188,negative,"@JumiaKenya i placed an order on 18th July, not yet received. Order number 303268286. Destination: Nyeri post office.To Abigail murugi HELP"
760,negative,@JumiaKenya I feel I'm not getting value for my money. Can I collect my items today?
552,neutral,@JumiaKenya hi i'd please like to track my order. Order number 306593986
180,positive,"@JumiaKenya Hae,I had left my phone and found that your missed call.. please if the package is ready i'm also ready please"
168,neutral,"@JumiaKenya Hello, naeza pata infinix smart x5010 at ksh 6000"
820,negative,@JumiaKenya I don't need that subwoofer am angry with you cancel that order
51,negative,Hellow want to know what happened on my oder 307538676.. Where one item is yet to be delivered...
1246,negative,As a customer I was concern. On other sites similar looking watches are 9 to 15 dollars. I thought it had to be an error.
1009,negative,"The laptop on the order 301715786, the specs on the web are different from what I received. e.g. Ethernet port is not present"
1789,negative,"@JumiaKenya Hi ,am having trouble completing a purchase for an item I've already paid for .kindly assist"
1460,negative,"Why all this processes and we had deliberated in this in call, please note we were very patient with the orders with the delays that were"
765,negative,"@jumiakenya Am inquiring on order ID number 301726386 , a laptop ordered and payed for,why is it delaying? I fear my money may get lost"
509,,
1240,neutral,"OK, thanks."
1384,neutral,"@JumiaKenya hello, if I make an order for a laptop today, when do I get it delivered? I want it delivered to my office in embakasi"
841,negative,"@JumiaKenya hey, how do i cancel an order i've placed? and how do i use my voucher?"
357,negative,@JumiaKenya i bought a hollywood night whitening cream but its not working
290,neutral,Order #309943696.
1463,negative,"@JumiaKenya been contacted twice this week for delivery of order 307518686, yet to be delivered though"
1243,neutral,order number #306123886
295,neutral,@JumiaKenya ORDER N.° 304294386 want to know status of returned product
33,negative,"@JumiaKenya Kindly pull down items that you don't have in store. I am a disappointed customer, others will soon be."
902,neutral,Check your DMs and call me please
473,positive,Recieved. Thank you
14,negative,Have received XTIGI Joy7 only.16Gb Hp flash disk was not there and amount paid was sh7608
1214,neutral,Is it a replacement
1225,neutral,"The delivery service called at 7am on Saturday, which we missed. When they answered our call later they said it was too late to deliver."
385,neutral,"@JumiaKenya do sales consultants have separate accounts,or the usual Jumia account?"
1071,negative,@JumiaKenya Jumia am greatly disappointed by your customers support..
162,neutral,@JumiaKenya why is it that IPhone or widely used
634,negative,@JumiaKenya order 301476886 not shipped and it's past the timeline that you guys gave me. Kindly assist.
400,neutral,5
413,negative,@JumiaKenya bought phone on 5th Anniv sale.to get 1gb data but haven't. @AIRTEL_KE advisedI contact you. order 301415496.tel0737227386
1092,neutral,@JumiaKenya why don't the tecno j8 come with the Boom headphones?
440,positive,@JumiaKenya Great customer experience..thank you for processing my refund on the double.
460,negative,Am still waiting
447,neutral,305192186
1204,neutral,Chapo
632,neutral,@JumiaKenya are chargers covered under a phone's warranty?
1488,negative,Hi how do I insert sim in the tecno L9? You delivered it without a user manual.
979,negative,@JumiaKenya Its more expensive to book hotels through you guys than to book on my own. Negotiate better deals.
1496,negative,"Order fulfilment excites me, but you are clearly incapable of it! pic.twitter.com/GiKvrBVaj8"
1128,neutral,@JumiaKenya pic.twitter.com/WJXqwmkQvK
704,neutral,@JumiaKenya @KeEquityBank i wanted to make an online payment trough my mastercard but i could not get the CW CODE.advice
1666,neutral,@JumiaKenya pic.twitter.com/SKhzmt0VQg
23,negative,"it shows 8GB ROM 512 MB RAM, but for the ROM, I doubt it....coz i sent videos bt were not accomodated all.."
899,negative,Yes do cancel
197,neutral,"My query is not about the order number, I already have the screen with me and just want a yes or no answer kindly."
608,neutral,@JumiaKenya What happened to ORDER 306177186 and order 30489386
1208,neutral,Kindly follow me so that I can DM you
305,neutral,"@JumiaKenya hey guys, do you have nokia 6?"
971,neutral,@JumiaKenya follow for dm
1180,neutral,@JumiaKenya trying to get new password please help
1174,neutral,"@JumiaKenya I am not in a position to receive my order today, the order no is 301715786, But I would request it delivered tomorrow."
864,neutral,"Any updates of my phone please , am already missing it, if its okay release it so I receive it 2moro and enjoy my weekend.waiting 4 ur reply"
581,neutral,@JumiaKenya Hi. I bought a laptop a few weeks ago which has suddenly stopped working. It had a 1yr warranty. The order number is 302359196
1288,neutral,Thank you
442,neutral,ok
1772,positive,thanks a lot ..so I hope I will get assistance because am coming from far outside Nairobi .thankyou
1680,neutral,@JumiaKenya I bought an infinix model X557 from you 2 months ago via order ADA-301331146-UCR. This phone is dead!! is there a warranty?
815,neutral,can i get this package today please...
42,positive,The item arrived. Thank you Jumia.
1468,negative,@jumia why did you supply me one for UAE knowing very well am in Kenya. That is conmanship
1791,negative,@JumiaKenya yo! I haven’t received my package yet .309566286
1080,negative,@JumiaKenya helloo jumia ..i placed an order on monday for delivery to pangani and untill now its not yet deliverd ...why this slow?
1674,neutral,I want to change that order.Kindly call me on 0719487199.Theres a clarification i want before i can cancel or change the order
251,negative,very poor customer services especially when returning products
591,negative,"Its a local item(hometheatre), i have the order no check dm. Yo gave me 1-4 days, today is the fourth day."
1252,negative,@JumiaKenya how do I get a refund for a cancelled order? Been trying to contact you through your customer care line in vain.
1673,negative,"@JumiaKenya ,We had agreed that you cancel my item order number 308574986.I've just been called this morning by one of your messangers"
1799,neutral,Noted
156,negative,please cancel this two orders since we considered other markets and acquired them 306586676 303594276 Since you took so long
1457,neutral,"Ticket No. 12595,"
1005,positive,Have been assisted. Thanks for your actions
221,negative,@JumiaKenya please cancel my two orders 307967676 and 302997676
1374,negative,Why did you remove the pay on delivery option?
238,negative,It is not powering on
37,neutral,302346276
938,neutral,My mummy deary
523,neutral,So I can pick it
163,negative,I'm buying a memory card + phone. pickup station is Kampus mall CBD. Why are you charging me ksh 300 for shipping these small items.?
1627,neutral,@JumiaKenya @Kilimall @Jazacart @UK_DUKAS https:// twitter.com/Ogungaken/stat us/635386818259746820 …
502,negative,"@JumiaKenya I placed my order on saturday 12/08 2017,It has not yet been delivered kindly advice my order no is 302436386"
19,neutral,On second thought I'll have it. Thanks anyway
1322,negative,@JumiaKenya what's the status of Jumia Order 302789986?Taking too long
1366,negative,"@JumiaKenya my order no. 306289396 was cancelled but not whole amount was refunded. My coupon is sh 19,319 instead of ksh 21959."
1642,neutral,Person I was buying for just declined
1147,neutral,is lenovo a6010 plus available?
235,negative,Will thr same be corrected? How long will i have to wait?
999,neutral,@JumiaKenya I need some help
1087,neutral,ok thanks
1625,neutral,@JumiaKenya i need to cancel an order.please help.
1654,neutral,@jumiakenya i wanna buy a phone from you. where are ur offices?
1299,neutral,"@JumiaKenya I need you assistance, let me dm you ASAP. Thanks in advance"
139,neutral,@JumiaKenya How much is Tecno Phantom tab?
1023,neutral,actually that's not true.
1359,negative,"@JumiaKenya hi so I ordered something on Monday, and I haven't received a delivery confirmation Message"
382,negative,"@JumiaKenya Jumia customer care numbers are automated, so impossible to talk to customer service staff. Emails to queries not answered too"
69,neutral,@JumiaKenya I wanna Order the Infinix Note 4 to be delivered within town.
1350,neutral,@JumiaKenya Kindly confirm to me your Kisumu pick up station.
134,negative,@JumiaKenya you should stop selling 16GB mem cards that are fake after delivery
1731,negative,309489296
828,neutral,Unfortunately I was away from my phone at the time.
1773,negative,@JumiaKenya hi! email expected delivery timeline for order 302744986 to nyiel37@gmail.com
1611,neutral,@JumiaKenya https:// twitter.com/JumiaKenya/sta tus/889851016203653121 … pic.twitter.com/BsrZOF8hw1
148,negative,then that fee is higher expected
746,positive,Thank you for the response :)
711,neutral,@JumiaKenya where are your offices located?
293,neutral,@JumiaKenya bought infinix note 4 last month. please send me the receipt to validate my warrant. serial number 358639080138426.
1349,negative,@JumiaKenya how do you supply a product destined for UAE yet you claim you cannot replace for one that works http:// here.style up! https:// twitter.com/JumiaKenya/sta tus/890479968261730304 …
60,neutral,"@JumiaKenya Hi, someone using 0723334065,0790648430, 0708126977 has conned my innocent friend who was purchasing a phone. Are thy ur agents?"
453,negative,@JumiaKenya ORDER N.° 30429438 i have picked my package the phone is okay but the flash disc isnt functioning
40,neutral,305743676
118,negative,"@JumiaKenya bought a sandisk 16GB sd card bt it seems like it can't support content abv 1.5GB, how do I get assisted?"
1445,positive,Thanks. Got item
229,negative,@JumiaKenya A visit to jumia for shopping for baby and this is what i get pic.twitter.com/5ffT5epEhZ
945,negative,Are guys responding Ama unjust assumption mnaudhi and we are paying
1141,neutral,Thank you
1648,neutral,thanks i will be patient
627,neutral,you haven't given service center details...
972,neutral,My order number is 309629596
731,negative,"Ok I hope so, pple r but to work, election is over last week ,so don't make that excuse and u r the bigest shopingmall in Africa u can do it"
159,neutral,printer HP deskjet 2135 all in one advantage ya 5799 na excelan mouse ya 700
1699,neutral,@JumiaKenya How does one cancel an order?
1330,neutral,@JumiaKenya what time will this order be delivered? Order no 302975486.
819,neutral,"Thank, will be waiting"
1426,neutral,305521196
849,neutral,"I got a call today that they want to deliver the package I tried to cancel yesterday, so which package is cancelled?"
137,neutral,@JumiaKenya When delivery? order no. 305387676
560,neutral,@JumiaKenya Whats the status for 309941186
1723,negative,@JumiaKenya how about you call me back since you are not picking calls now that I have already committed my money to you.
516,neutral,Hi 302611986 where has it reached?
821,negative,@JumiaKenya I just Want to know why did the guy ysend to deliver my order pretend that he called me and went back with my order clarfication
49,neutral,"Am at chuka and placed my order yesternight, is it possible to be dropped tommorow and am not yet called to confirm?"
249,negative,I have provided the order number and you don't respond
64,neutral,We can #makemoneywithJumia 1.Sell on Jumia. 2. Become an Affiliate Partner 3. Become a Sales Consultant
1448,neutral,"the order number in subject is 307946986, so what is she supposed to do?"
726,neutral,When i reorder Narok is not among the shipping list location kindly let customer care call me
716,negative,@JumiaKenya pls cancel order no 302277386 urgent
328,positive,thanks
288,neutral,Am in kisii how soon can get this
517,negative,@jumiaKenya My order no is 308891886. You are taking long to deliver the product why! it is now 20 days .... since I ordered. what's wrong
1073,neutral,@JumiaKenya hi I need a laptop but need to confirm some things before purchasing plz provide me with the contact no. that i can inquire from
1316,neutral,In Nyahururu theres a post office but its not appearing on your website. Can it be delivered there?
445,neutral,@JumiaKenya can you follow for DM???
1610,neutral,"@JumiaKenya hi, how do I became a premium customer. Thanks"
989,neutral,@JumiaKenya Which colours are available for XTIGI Desire1
793,negative,@JumiaKenya mnanibore sana...I returned my power bank after finding that it was faulty and now you gave me a voucher as if I needed
174,negative,Cancel order 305626676
1481,negative,Save it.
1160,negative,I didn't get the confirmation
1351,negative,@JumiaKenya Have been trying to call Jumia offices on all the various numbers you have provided online. No one is answering.
689,neutral,I have successfully ordered a cubot rainbow and paid via mpesa so upon delivery should i have the transaction code or what??
1681,negative,@JumiaKenya It been almost a month since I placed my order and no communication yet
1690,neutral,when should I expect it?
296,neutral,@JumiaKenya ORDER N.° 309167276 how far with my order
1467,negative,"@JumiaKenya hi, a customer has been brought different items from the ones she ordered 307946986"
593,neutral,@JumiaKenya see DM
449,negative,the flash is not reading on my phone nor laptop. .trying to copy anything to it cant be detected
1081,negative,@JumiaKenya please where is my product
457,negative,So I was supposed to have another location yet your app doesn't allow to edit the same?
903,negative,"Not with such a poor response rate, maybe next time"
783,negative,"I urgently need a new laptop, and its frustrating that I was delivered a different laptop from what I ordered."
741,neutral,@JumiaKenya i cancelled order #305143586& #307935586 but items are being delivered. i need items for order #301724186
1662,neutral,From 22nd.
1621,negative,I kept calling myself the number given. Given several promises by s Mr. Gilbert
802,neutral,thats the order pic.twitter.com/Dnbn4O0Oom
1314,neutral,Alright. Thanks.
1411,neutral,@JumiaKenya you guys do deliver countrywide yes?
959,neutral,"@JumiaKenya i want a confirmation if I'll receive my product order 308442186 by today by 2 because am going to ocha, if not cancel my order"
1168,negative,"@JumiaKenya I bought an item 2 weeks ago and paid for it. Until now it has never been delivered. If you have conned me, let's me know ASAP"
1328,neutral,305486686
1250,negative,So a month later and no delivery?i thought the order is in your warehse...Jumia WTH is this?
629,negative,@Jumiakenya it's the 5th business day since i made O.N 3025631860. What the status ?
1327,neutral,GoPro order no. 301621532
622,neutral,Are you in a position to assure me that it's on transit right now ? I be a little bit patient ?
1157,neutral,@JumiaKenya hi jumia? Can I change an order I placed yesterday?
194,positive,ok thanks
1473,neutral,"@JumiaKenya Hi, I ordered a phone yesterday and i urgently need it. can i get it today? order number 303436886"
414,negative,Have rcvd no notification frm the post office.Does this mean that you nolonger inform pple when their orders are ready for collection?
96,negative,Am ordering hot 4infinix x557 and is over plz stock it ..will order it tomorrow
1787,neutral,pic.twitter.com/Msdfyz1Vc1
784,negative,"well, 48 hours are almost over, no one has come to collect the item. So am wondering what's wrong."
41,neutral,"@JumiaKenya Hi,I placed an order for a mobile phone on Saturday and it said that delivery would be within 1-2 days on prepayment.Any update?"
1764,neutral,@JumiaKenya kindly send me the service centre for the follow items #308183286 & #302774826
1372,neutral,"@JumiaKenya Hi. I have made a purchase, my order number is #306143886. How soon can I get the order or can i pick it up myself?"
179,negative,@JumiaKenya I bought Skyworth Smart TV on 18.05.2016 order no. 304325762 and now it is showing dark screen on the upper side. Assist please
1489,negative,@jumiakenya am most frustrated customer. Can you look at order no. 309866686 and get back to me soonest
1194,negative,@JumiaKenya hey...am wondering why one product has more than one price allocated to it....please clarify
1013,neutral,301512186
155,positive,OK thanks
1044,neutral,"@JumiaKenya Good afternoon, kindly call me back, I've seen that you guys reached out to me while I was on another call."
505,negative,@JumiaKenya Hey Jumia you need to be more serious with returned products. How do you stay with a product for more than 14 days?
474,negative,o so of which my money have gone like that how can i refund them since he use to order for me goods?
1580,negative,@JumiaKenya You promised that this order 307264286 will be available at Rongo posts on 25th but I've not got any communication.
773,neutral,@JumiaKenya Do you guys have cases/covers for General Mobile 4G Android One phones?
904,neutral,@JumiaKenya check DM
45,negative,@JumiaKenya #303685996 the phone wont go past this.. direct accordingly pic.twitter.com/kSuMtnRktb
936,neutral,I'd bring me and Janet
1547,neutral,order #307615986. i need to remove one of the item and add another.
1431,neutral,"Great, DM'd..."
1447,negative,Am tired of apologies if it doesn't arrive today I'll jus cancel it
38,neutral,"@JumiaKenya Hi, I'd like to cancel an order. Kindly advise"
20,neutral,@JumiaKenya Hello I want to buy the Zed laptop. Kindly assist me on how I can purchase it
166,neutral,@JumiaKenya hey do you have a shop in town where i can pick an android box without waiting for the three days when i order online .. Advise
1234,neutral,@JumiaKenya hi.when are you making the delivery of my order 307245886
190,neutral,"@JumiaKenya Hi, how soon can you have the Fero Royale X1 in stock?"
1038,neutral,Thank you
1,negative,"@JumiaKenya kindly trace for me my order which were cancelled with no clear reason.order number 302114876,my number 0722968081"
1593,neutral,Moooved
1766,negative,"@JumiaKenya anybody here? Need help with order #305962986, check status and advice, I'm getting the order cancelled mail why?"
685,neutral,Sent.
814,negative,@JumiaKenya i have issues on item refund since 6 August and i haven't gotten any responses since kindly take a look on it
1572,positive,"i do understand the complications in business. best part is you guys communicate well, bit late but u do. Hope will not get this in future."
1525,negative,"@JumiaKenya .I placed order302581896 on 6th July,a no. of my followup emails 've gone unreplied to. When r u delivering? Are u up 2 de task?"
635,neutral,"@JumiaKenya what's the price of a Samsung 32 TV?"""
1278,negative,No reply as of today.
489,neutral,"OK, I would like to know amount of charges to Matuu town so that I can pay the whole amount."
1086,neutral,@JumiaKenya i want to cancel an order
1109,neutral,0721498633
485,positive,thank you
1507,neutral,302673686
302,neutral,How much does it cost?
822,negative,@JumiaKenya I paid the screen early mrng but still cant get the help from you?
1527,negative,@JumiaKenya i am yet to receive my order- order no. 306712796
867,neutral,That is fine. Do I have to reorder the stylus?
1707,negative,"you forced me to pay for the order as a commitment, then you cancelled the order one week later after holding hostage my money for one week."
1399,neutral,Hello does this Alcatel for 1600 support whatsapp ?I need one today I just lost my phone.Please respond thanks
366,negative,@JumiaKenya cancel order #309916276
1035,neutral,Its at the pick up point? I'd appreciate as it will be able to serve its purpose in time
1182,neutral,"@JumiaKenya hi, my package is to be delivered today, but am not around, I'd like it to be delivered tomorrow, the is ADA-301715786-4TK"
1548,neutral,BEAN BAG CHAIR INTEX Air Round Sofa - Orange & Black Seller: HomeStoreKE
189,neutral,The attached screenshot is the exact device pic.twitter.com/ctZdnF5ame
1748,neutral,@JumiaKenya kindly confirm if this order has been cancelled 304312986
439,negative,"@JumiaKenya Advise on order 301489386, Prepaid Order your rider Adrian Kisia 0715850566 has kept me waiting till now from 5pm,his phone off"
745,neutral,@JumiaKenya can i get an infinix zero 4 battery and at how much?
1521,negative,Is the delivery still going to be made today coz I avnt even gotten a call from the person making the delivery
759,negative,@JumiaKenya @jumia #JUMIA order 302611986 you guys r not picking my call y and I want to know about my fon plz r u still closed or....Please
276,neutral,my friend need to order a vision plus tv...are they in stock? and can he order it right away
511,negative,Of late jumia is just boring and not worth it
612,positive,thank you so much
498,neutral,I tag @ewanjiku344 ..2 days ago it was her birthday. pic.twitter.com/xf9vK4qCnd
844,negative,@JumiaKenya I placed order no.301277286 for? an overseas item and the 15-19days waiting period has passed and still no communication
850,neutral,305897586
872,negative,"Okay, but the issue is that the order that they cancelled was an international one that I already paid for"
1264,negative,@JumiaKenya A concerned customer seeking clarification before confirming an order: the price of each item and how they add up to the total pic.twitter.com/eTxF9rpsTJ
599,neutral,305358186
1466,negative,@JumiaKenya I need a way forward. Am tired and remember no communication from them.
1293,neutral,@JumiaKenya Hello. I recently bought a phone. It has a 1 year waranty and It has a problem. How will I be helped
1286,negative,I guess I will just have to call your customer care then.... Since you really not feeling too forward with an address
87,negative,"7 failed delivery?who,where were they delivering to and yet there was no calls made to confirm the delivery being done as is always the case"
604,neutral,How long will it take ?
258,neutral,I want to buy a phone cover but it's from Jumia Global. Delivery is at Adams Arcade pick up station
701,negative,"my order 308435186, delivery Githurai 45. Almost a week now"
486,negative,I think there is a problem with your tracking system. Its still showing its en route and no feed back was given
391,negative,@JumiaKenya why would anyone pay 200/- to pick an item that costs 149/-
665,neutral,I've no idea where there care center is located
1323,negative,Was wondering since 14th two weeks later if has not reached the collection point. Thanks thou. pic.twitter.com/T3XeghsiaM
1737,neutral,When? Can I come to your office!
344,negative,"@JumiaKenya are you getting more sales from your page popping up l, anytime someone clicks on a link ? A bit frustrating."
1166,neutral,305242686
754,negative,"No I can't wait that long its almost 10 days please if u can't do it by tomorrow then send me my fon back, u guys don't want to cooperate"
960,negative,Like Baobab is 12k a night max. 5 days is 60k. You guys are quoting 107k. :-O
1354,neutral,@JumiaKenya do you guys inform buyers once the goods have been delivered
212,negative,@JumiaKenya I have just received my order no 302668686 which was returned but the phone is not even powering on.What is happening?
213,neutral,@JumiaKenya .hae I'm just near kaka house and I hope I can receive my order tomorrow please.
832,neutral,appreciated. kindly send me the link again
619,neutral,where exactly.. at Embu??
1754,neutral,Kindly look into the issue.
698,negative,@JumiaKenya trying to order a laptop but there is no pay on delivery option. Please assist
260,neutral,I dont think if i have ever received this. Kindly send me to aid in future purchases
1170,negative,cant proceeed past *proceed to checkout* whats up with my account
1200,negative,"@JumiaKenya Sometimes you tend to annoy your customers, improve your customer care skills @JumiaNigeria @citizentvkenya @Kiss100kenya pic.twitter.com/NFdNL49JN6"
1190,negative,"@JumiaKenya how does it work with you guys..I mean, I placed my order but until now..still got nothing.."
900,negative,@jumiaKenya My order no is 308891886. You are taking long to deliver the product why !!!!!!
370,negative,@JumiaKenya you guyz sale fake phones.
954,neutral,"@JumiaKenya I'm looking for this foundation,will I get it and if so for how much please? pic.twitter.com/fFe56bJjmE"
738,negative,"That is not fair, am wasting my credit to call u and u not picking , please reply me or call back , if u can't do that then return my phone"
1338,neutral,@JumiaKenya I need to buy a certain item but looks delivery is a few days. Can I get the contacts to the supplier?
827,negative,Hello Kindly check for me order no #302668686 was returned but I haven't heard from you guys
721,neutral,@JumiaKenya Please confirm whether the second item in the order 305394586 has been delivered. Order was placed on 1st August.
318,neutral,GS: there's is no space before the email address as you. Kindly check again
1410,neutral,"@JumiaKenya whats the status of this -> #309143696,i was told it will take 15-19 http:// days.Today is the 19th day."
1414,negative,@JumiaKenya Order number 304684986 being shipped to Athi River is taking too long..
63,negative,That's the unfortunate part I had opened it and at the moment when am shaking I see the date. That means you can't help?
1196,negative,@JumiaKenya If the delivery system isn't good then your clients will just prefer to buy their products from the supermarket.
838,neutral,0736187322
384,neutral,@JumiaKenya is there hotwav v20 black?
1612,neutral,How about in Eldoret? Which place exactly?
83,neutral,"@JumiaKenya I need an MP3 player Which I can use it as radio to connect with my speakers,are they available on your beautiful website?"
888,neutral,ok then
515,negative,You dont have a template that contains the same? I think it would be easier since am a vendor
1678,neutral,pic.twitter.com/3e5ZPiIcT3
204,negative,And it is not working!
206,neutral,@JumiaKenya HI my name is ISHIMWE Anthere i was trying to order some stuffs but i can't see that option paying on delivery please help me
789,neutral,I have sent my number 0701277522 as u wanted for further assistance and I expect my delivery today as u said
557,negative,Kindly facilitate quick reimbursement of my monies.
1744,negative,Please contact me with the delivery date for order 304949686 someone called only to tell me that he couldn't deliver it to ruai
1749,neutral,Thank you
309,neutral,"@JumiaKenya hi, do you have tecno n6 and how much is it going for?"
1461,negative,"@JumiaKenya ,kindly advise when I'm receiving my parcel.. Order number 304163596..tired of waiting"
544,negative,Should i go and check it at my pick up station ? It's taking longer than expected ama mlicancell hyo order ?
797,negative,@JumiaKenya whenis my Parcel Tracking: WHF-306351786-GJA being deliverd yestereday you didnt assist me yet its due for collection... pic.twitter.com/7vjM8l6q7o
379,negative,Horrendous services. Kindly remind me to never prepay again or nor to use Jumia again. I will never recommend or prepay for anything again.
1478,negative,"Hey what's up, I was waiting for my battery not a refund, can someone get back to me regarding this...I received a token, but I need product"
1306,neutral,Like i said by Monday that is tomorrow.
1603,neutral,"@JumiaKenya hi, kindly confirm if this order was placed as an agent. 306225986"
895,negative,@JumiaKenya I would like to cancel my order. No one is answering at customer care. Please assist
209,neutral,@JumiaKenya ??? ?? ??? ???? 305217927 ????? ????? ??? ????? ????? ??? ?????? ?????? ?? ??????
1304,negative,It is not charging nor showing anything on the display. Kindly send someone to have a look a it
1562,negative,@JumiaKenya hey i would like to purchase a phone but pay on delivery. I can't see that option on the app pls help
588,neutral,@JumiaKenya can't get through to customer care wanted to confirm an order #306632476. They can me back
1550,neutral,@JumiaKenya i need to cancel an order and order other items
907,neutral,@JumiaKenya I am in kisumu now how do i get my package ?
1137,neutral,should I expect a call from you guys?
601,negative,"@JumiaKenya after placing an order what happens next? who calls the other, me or you?"
675,neutral,@JumiaKenya please call 0716575105
796,negative,@JumiaKenya I have sent u the details ..can u get it Leo??
237,negative,Trying to get intouch with you guys but all in vein
425,neutral,the order no. Is 308319586.
1184,negative,"Morning guys. Received the item on 28th, but it doesn't work at all. Can I get a refund?"
1646,negative,"@JumiaKenya I received an electronic delivery yesterday, but the mechanism is faulty. Order number 303756286"
